clae6,letra,clae6_desc,clae2_desc,letra_desc
012600,A,"Cultivo de frutos oleaginosos (Incluye el cultivo de olivo, coco, palma, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011299,A,"Cultivo de oleaginosas n.c.p. excepto soja y girasol (Incluye los cultivos de oleaginosas para aceites comestibles y/o uso industrial: cártamo, colza, jojoba, lino oleaginoso, maní, ricino, sésamo, tung, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012319,A,"Cultivo de frutas de pepita n.c.p. (Incluye membrillo, níspero, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011342,A,"Cultivo de legumbres secas (Incluye garbanzo, lenteja, poroto, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014300,A,"Cría de camélidos (Incluye alpaca, guanaco, llama, vicuña)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
013011,A,Producción de semillas híbridas de cereales y oleaginosas,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011121,A,Cultivo de maíz,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011329,A,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p. (Incluye ají, ajo, alcaparra, berenjena, cebolla, calabaza, espárrago, frutilla, melón, pepino, pimiento, sandía, zanahoria, zapallo, zapallito, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011501,A,Cultivo de algodón,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
013019,A,Producción de semillas de cultivos agrícolas n.c.p.,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012900,A,Cultivos perennes n.c.p.,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011911,A,Cultivo de flores,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012200,A,"Cultivo de frutas cítricas (Incluye bergamota, lima, limón, mandarina, naranja, pomelo, kinoto, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
024020,A,"Servicios forestales excepto los servicios para la extracción de madera (Incluye protección contra incendios, evaluación de masas forestales en pie, estimación del valor de la madera, etc.)",Silvicultura y explotación forestal,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
