Cueanexo,provincia,Departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET
020026800,CABA,COMUNA 8,0,0,1,0,0,0,0
020026900,CABA,COMUNA 5,0,0,0,0,0,0,0
020027000,CABA,COMUNA 6,0,0,0,0,0,0,0
020027100,CABA,COMUNA 6,0,0,0,0,0,0,0
020027200,CABA,COMUNA 15,0,0,0,0,0,0,0
020027300,CABA,COMUNA 3,0,0,0,0,0,1,1
020027400,CABA,COMUNA 8,0,1,0,0,0,0,0
020027500,CABA,COMUNA 8,0,1,0,0,0,0,0
020027600,CABA,COMUNA 9,1,1,1,1,0,0,0
020027800,CABA,COMUNA 8,0,1,0,0,0,0,0
020027804,CABA,COMUNA 8,0,1,0,0,0,0,0
020027900,CABA,COMUNA 8,0,0,1,0,0,0,0
020028100,CABA,COMUNA 13,0,0,1,0,0,0,0
020028300,CABA,COMUNA 6,0,0,0,0,0,1,0
020028400,CABA,COMUNA 5,0,0,0,0,0,0,0
020028500,CABA,COMUNA 8,0,0,0,1,0,0,0
020028600,CABA,COMUNA 8,0,0,0,1,0,0,0
020028700,CABA,COMUNA 3,1,1,1,1,0,0,0
020028900,CABA,COMUNA 3,0,0,1,0,0,0,0
020029000,CABA,COMUNA 3,0,1,0,0,0,0,0
020029001,CABA,COMUNA 3,0,1,0,0,0,0,0
020029002,CABA,COMUNA 3,0,1,0,0,0,0,0
020029300,CABA,COMUNA 2,0,1,1,1,0,0,0
020029400,CABA,COMUNA 3,0,1,0,0,0,0,0
020029401,CABA,COMUNA 3,0,1,0,0,0,0,0
020029500,CABA,COMUNA 2,0,1,1,1,0,0,0
020029600,CABA,COMUNA 4,0,0,1,0,0,0,0
020029700,CABA,COMUNA 4,0,0,1,0,0,0,0
020029800,CABA,COMUNA 4,0,0,1,0,0,0,0
020029900,CABA,COMUNA 12,0,0,0,1,1,0,0
020030100,CABA,COMUNA 5,0,0,0,0,0,0,0
020030200,CABA,COMUNA 7,0,0,1,0,0,0,0
020030300,CABA,COMUNA 7,0,1,1,0,0,0,0
020030400,CABA,COMUNA 10,0,0,1,0,0,0,0
020030500,CABA,COMUNA 5,0,0,1,0,0,0,0
020030700,CABA,COMUNA 5,1,1,1,1,0,0,0
020030900,CABA,COMUNA 1,0,1,0,0,0,0,0
020030902,CABA,COMUNA 1,0,1,0,0,0,0,0
020031000,CABA,COMUNA 1,0,0,0,0,0,0,0
020031100,CABA,COMUNA 1,0,0,1,0,0,0,0
020031200,CABA,COMUNA 13,0,0,0,0,0,0,0
020031700,CABA,COMUNA 13,0,0,0,1,0,0,0
020031900,CABA,COMUNA 13,0,0,1,0,0,0,0
020032000,CABA,COMUNA 14,0,0,0,0,0,0,0
020032100,CABA,COMUNA 4,0,0,0,0,0,0,0
020032200,CABA,COMUNA 4,0,0,0,0,0,0,0
020032300,CABA,COMUNA 4,0,0,0,0,0,0,0
020032400,CABA,COMUNA 12,0,0,1,0,0,0,0
020032500,CABA,COMUNA 12,0,0,1,0,0,0,0
020032600,CABA,COMUNA 12,0,0,0,0,0,0,0
020032800,CABA,COMUNA 9,0,0,1,0,0,0,0
020032900,CABA,COMUNA 5,0,0,1,0,0,0,0
020033000,CABA,COMUNA 9,0,0,1,0,0,0,0
020033100,CABA,COMUNA 9,1,1,1,0,0,0,0
020033300,CABA,COMUNA 13,0,0,1,0,0,0,0
020033400,CABA,COMUNA 4,0,1,1,0,0,0,0
020033500,CABA,COMUNA 14,1,1,1,0,0,0,0
020033600,CABA,COMUNA 14,0,1,0,0,0,0,0
020033601,CABA,COMUNA 14,0,1,0,0,0,0,0
020033602,CABA,COMUNA 14,0,1,0,0,0,0,0
020033700,CABA,COMUNA 14,0,0,0,0,0,0,0
020034100,CABA,COMUNA 12,0,0,1,0,0,0,0
020034200,CABA,COMUNA 10,1,1,0,0,0,0,0
020034400,CABA,COMUNA 7,1,1,0,0,0,0,0
020034401,CABA,COMUNA 7,0,1,0,0,0,0,0
020034402,CABA,COMUNA 7,0,1,0,0,0,0,0
020034403,CABA,COMUNA 7,0,1,0,0,0,0,0
020034500,CABA,COMUNA 7,0,0,0,0,0,0,0
020034700,CABA,COMUNA 13,0,0,0,0,0,0,0
020034800,CABA,COMUNA 12,0,0,0,0,0,0,0
020034900,CABA,COMUNA 12,0,0,1,0,0,0,0
020035000,CABA,COMUNA 12,0,0,0,1,0,0,0
020035100,CABA,COMUNA 11,0,0,1,0,0,0,0
020035200,CABA,COMUNA 15,0,0,1,0,0,0,0
020035300,CABA,COMUNA 15,1,1,0,0,0,0,0
020035400,CABA,COMUNA 2,1,1,1,1,0,0,0
020035500,CABA,COMUNA 2,1,1,1,0,0,0,0
020035600,CABA,COMUNA 2,0,0,0,0,0,1,0
020035800,CABA,COMUNA 13,0,0,1,0,0,0,0
020036100,CABA,COMUNA 2,0,0,0,0,0,1,0
020036200,CABA,COMUNA 8,0,0,1,0,0,0,0
020036300,CABA,COMUNA 12,0,0,1,0,0,0,0
020036400,CABA,COMUNA 15,0,0,0,1,0,0,0
020036500,CABA,COMUNA 6,0,0,0,0,0,0,0
020036600,CABA,COMUNA 6,0,0,0,0,0,1,1
020036601,CABA,COMUNA 8,0,0,0,0,0,1,1
020036800,CABA,COMUNA 6,1,1,1,0,0,0,0
020037000,CABA,COMUNA 15,0,0,1,0,0,0,0
020037100,CABA,COMUNA 3,0,0,0,0,0,0,0
020037200,CABA,COMUNA 10,0,0,0,0,0,1,1
020037300,CABA,COMUNA 3,0,0,0,0,0,0,0
020037400,CABA,COMUNA 3,0,0,0,0,0,0,0
020037500,CABA,COMUNA 3,0,0,0,0,0,0,0
020037600,CABA,COMUNA 5,0,0,0,0,0,0,0
020037900,CABA,COMUNA 6,1,1,0,0,0,0,0
020038000,CABA,COMUNA 7,0,0,1,0,0,0,0
020038100,CABA,COMUNA 8,0,1,0,0,0,0,0
020038200,CABA,COMUNA 7,0,1,0,0,0,0,0
020038300,CABA,COMUNA 12,0,0,0,1,0,0,0
020038400,CABA,COMUNA 12,0,0,0,0,0,0,0
020038500,CABA,COMUNA 12,0,0,0,0,0,0,0
020038600,CABA,COMUNA 5,0,0,1,0,0,0,0
020038700,CABA,COMUNA 12,1,1,1,1,0,0,0
020038800,CABA,COMUNA 5,0,0,0,0,0,0,0
020038900,CABA,COMUNA 4,0,0,0,0,0,0,0
020039000,CABA,COMUNA 14,0,0,0,0,0,0,0
020039100,CABA,COMUNA 2,0,0,0,0,0,0,0
020039200,CABA,COMUNA 1,0,0,0,0,0,0,0
020039300,CABA,COMUNA 2,0,0,0,0,0,0,0
020039400,CABA,COMUNA 2,0,0,0,0,0,0,0
020039800,CABA,COMUNA 7,1,1,1,0,0,0,0
020039900,CABA,COMUNA 11,0,0,1,0,0,0,0
020040000,CABA,COMUNA 7,0,0,1,0,0,0,0
020040100,CABA,COMUNA 13,0,0,0,1,0,0,0
020040200,CABA,COMUNA 5,0,1,1,1,0,0,0
020040300,CABA,COMUNA 7,1,1,1,0,0,0,0
020040400,CABA,COMUNA 5,0,0,1,0,0,0,0
020040500,CABA,COMUNA 14,0,0,0,0,0,0,0
020040700,CABA,COMUNA 3,1,1,1,1,0,0,0
020040800,CABA,COMUNA 5,0,0,0,0,0,0,0
020040900,CABA,COMUNA 8,0,0,0,0,0,0,0
020041000,CABA,COMUNA 3,0,0,1,0,0,0,0
020041100,CABA,COMUNA 4,0,1,1,1,0,0,0
020041200,CABA,COMUNA 3,0,1,1,0,0,0,0
020041300,CABA,COMUNA 10,0,0,1,0,0,0,0
020041400,CABA,COMUNA 13,0,0,0,1,0,0,0
020041500,CABA,COMUNA 13,1,1,1,1,0,0,0
020041600,CABA,COMUNA 13,0,0,0,0,0,0,0
020041700,CABA,COMUNA 10,0,0,1,0,0,0,0
020041800,CABA,COMUNA 4,0,0,1,0,0,0,0
020041900,CABA,COMUNA 7,0,0,1,0,0,0,0
020042000,CABA,COMUNA 5,0,1,1,1,0,0,0
020042100,CABA,COMUNA 13,0,0,1,0,0,0,0
020042200,CABA,COMUNA 4,1,1,1,1,0,0,0
020042300,CABA,COMUNA 3,0,0,0,0,0,0,0
020042400,CABA,COMUNA 1,0,0,0,0,0,1,1
020042500,CABA,COMUNA 3,0,1,1,0,0,0,0
020042600,CABA,COMUNA 8,0,1,0,0,0,0,0
020042700,CABA,COMUNA 12,0,1,0,0,0,0,0
020042800,CABA,COMUNA 11,1,1,1,1,0,0,0
020043100,CABA,COMUNA 1,0,0,0,0,0,0,0
020043300,CABA,COMUNA 8,0,0,1,0,0,0,0
020043600,CABA,COMUNA 15,0,0,0,0,0,0,0
020043700,CABA,COMUNA 14,0,1,1,0,0,0,0
020043800,CABA,COMUNA 3,0,0,1,0,0,0,0
020043900,CABA,COMUNA 3,0,1,0,0,0,0,0
020044000,CABA,COMUNA 11,1,1,1,0,0,0,0
020044100,CABA,COMUNA 4,0,0,1,0,0,0,0
020044200,CABA,COMUNA 4,0,1,0,0,0,0,0
020044400,CABA,COMUNA 7,0,1,0,0,0,0,0
020044401,CABA,COMUNA 7,0,1,0,0,0,0,0
020044402,CABA,COMUNA 7,0,1,0,0,0,0,0
020044600,CABA,COMUNA 5,0,1,1,0,0,0,0
020044700,CABA,COMUNA 11,0,0,1,0,0,0,0
020045100,CABA,COMUNA 15,0,0,0,0,0,1,1
020045200,CABA,COMUNA 3,0,0,0,0,0,0,0
020045300,CABA,COMUNA 3,0,0,0,0,0,0,0
020045500,CABA,COMUNA 4,0,1,1,0,0,0,0
020045600,CABA,COMUNA 1,0,1,1,0,0,0,0
020045700,CABA,COMUNA 1,0,1,1,0,0,0,0
020045800,CABA,COMUNA 5,0,0,0,0,0,1,1
020045900,CABA,COMUNA 3,0,0,0,0,0,0,0
020046000,CABA,COMUNA 13,0,0,0,1,0,0,0
020046100,CABA,COMUNA 13,0,0,1,0,0,0,0
020046200,CABA,COMUNA 10,0,0,1,0,0,0,0
020046300,CABA,COMUNA 12,0,0,1,0,0,0,0
020046400,CABA,COMUNA 6,1,1,1,0,0,0,0
020046500,CABA,COMUNA 11,0,0,0,0,0,0,0
020046700,CABA,COMUNA 13,1,1,0,0,0,0,0
020046702,CABA,COMUNA 13,0,1,0,0,0,0,0
020046703,CABA,COMUNA 13,1,1,0,0,0,0,0
020046800,CABA,COMUNA 4,0,0,0,0,0,0,0
020046900,CABA,COMUNA 1,0,0,0,1,1,0,0
020047000,CABA,COMUNA 4,0,0,1,0,0,0,0
020047200,CABA,COMUNA 4,0,0,1,0,0,0,0
020047300,CABA,COMUNA 4,0,0,1,0,0,0,0
020047400,CABA,COMUNA 4,0,0,1,0,0,0,0
020047600,CABA,COMUNA 4,0,0,1,0,0,0,0
020047700,CABA,COMUNA 4,0,1,0,0,0,0,0
020047800,CABA,COMUNA 15,0,0,0,1,1,0,0
020047900,CABA,COMUNA 14,0,1,1,1,0,0,0
020048000,CABA,COMUNA 2,0,0,0,0,0,0,0
020048100,CABA,COMUNA 2,0,0,1,0,0,0,0
020048300,CABA,COMUNA 14,0,0,0,1,0,0,0
020048400,CABA,COMUNA 4,0,0,1,0,0,0,0
020048500,CABA,COMUNA 4,0,0,1,0,0,0,0
020048600,CABA,COMUNA 11,1,1,1,1,0,0,0
020048700,CABA,COMUNA 7,0,0,0,1,0,0,0
020048900,CABA,COMUNA 13,0,0,1,0,0,0,0
020049000,CABA,COMUNA 15,0,0,1,0,0,0,0
020049100,CABA,COMUNA 3,0,0,1,0,0,0,0
020049200,CABA,COMUNA 3,0,1,0,0,0,0,0
020049300,CABA,COMUNA 15,1,1,1,1,0,0,0
020049400,CABA,COMUNA 15,0,0,0,1,0,0,0
020049500,CABA,COMUNA 11,0,0,1,0,0,0,0
020049600,CABA,COMUNA 13,0,1,1,1,0,0,0
020049700,CABA,COMUNA 12,0,0,1,0,0,0,0
020049800,CABA,COMUNA 4,0,0,0,0,0,0,0
020049900,CABA,COMUNA 4,0,0,0,1,1,0,0
020050000,CABA,COMUNA 13,0,0,0,1,0,0,0
020050200,CABA,COMUNA 13,0,1,1,1,0,0,0
020050300,CABA,COMUNA 4,1,1,1,1,0,0,0
020050400,CABA,COMUNA 1,0,0,1,0,0,0,0
020050500,CABA,COMUNA 3,0,0,0,0,0,0,0
020050600,CABA,COMUNA 3,0,0,0,1,1,0,0
020050800,CABA,COMUNA 4,0,1,1,1,0,0,0
020050900,CABA,COMUNA 1,0,0,0,1,1,0,0
020051100,CABA,COMUNA 13,1,1,1,1,0,0,0
020051200,CABA,COMUNA 9,1,1,1,1,0,0,0
020051300,CABA,COMUNA 9,1,1,1,1,0,0,0
020051400,CABA,COMUNA 9,0,0,1,0,0,0,0
020051600,CABA,COMUNA 15,0,0,1,0,0,0,0
020051800,CABA,COMUNA 15,0,0,1,0,0,0,0
020051900,CABA,COMUNA 15,0,0,1,0,0,0,0
020052000,CABA,COMUNA 4,0,0,1,0,0,0,0
020052100,CABA,COMUNA 4,1,1,1,1,0,0,0
020052300,CABA,COMUNA 4,0,0,1,0,0,0,0
020052400,CABA,COMUNA 3,0,0,1,0,0,0,0
020052500,CABA,COMUNA 1,1,1,1,0,0,0,0
020052600,CABA,COMUNA 13,0,0,0,0,0,1,0
020052700,CABA,COMUNA 13,0,0,1,1,0,0,0
020052800,CABA,COMUNA 1,0,0,1,0,0,0,0
020053000,CABA,COMUNA 13,0,0,1,0,0,0,0
020053100,CABA,COMUNA 13,0,0,0,0,0,1,1
020053200,CABA,COMUNA 13,1,1,1,0,0,0,0
020053300,CABA,COMUNA 12,0,0,1,0,0,0,0
020053400,CABA,COMUNA 13,1,1,1,1,0,0,0
020053500,CABA,COMUNA 13,0,1,1,1,0,0,0
020053600,CABA,COMUNA 1,0,0,1,1,0,1,0
020053601,CABA,COMUNA 8,0,0,0,0,0,1,0
