Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
BUENOS AIRES,MARCOS PAZ,35.0,83,64761.0
MISIONES,MONTECARLO,27.0,83,38620.0
CORDOBA,MINAS,2.0,83,9267.0
CORDOBA,MINAS,2.0,83,4855.0
NEUQUEN,MINAS,1.0,83,9267.0
NEUQUEN,MINAS,1.0,83,4855.0
LA RIOJA,CHILECITO,59.0,82,58681.0
CORRIENTES,BELLA VISTA,23.0,82,44369.0
CHACO,INDEPENDENCIA,7.0,82,2399.0
CHACO,INDEPENDENCIA,7.0,82,21948.0
TUCUMAN,SIMOCA,4.0,82,36946.0
LA RIOJA,INDEPENDENCIA,0.0,82,21948.0
LA RIOJA,INDEPENDENCIA,0.0,82,2399.0
BUENOS AIRES,GENERAL ALVARADO,34.0,81,45307.0
SAN JUAN,CAUCETE,36.0,80,44017.0
FORMOSA,LAISHI,0.0,80,19275.0
CORRIENTES,MONTE CASEROS,22.0,79,45602.0
CHUBUT,CUSHAMEN,22.0,78,28099.0
BUENOS AIRES,LAS FLORES,11.0,74,27136.0
BUENOS AIRES,ENSENADA,49.0,73,63978.0
BUENOS AIRES,BRANDSEN,17.0,73,32350.0
CORRIENTES,PASO DE LOS LIBRES,36.0,72,56778.0
BUENOS AIRES,MAGDALENA,20.0,72,22653.0
CORDOBA,TULUMBA,3.0,72,14092.0
BUENOS AIRES,BRAGADO,34.0,71,46227.0
BUENOS AIRES,CARLOS CASARES,31.0,71,22905.0
CHACO,12 DE OCTUBRE,14.0,71,23179.0
MISIONES,CANDELARIA,11.0,71,34945.0
BUENOS AIRES,MAR CHIQUITA,9.0,71,32973.0
CORRIENTES,SALADAS,5.0,71,29126.0
CHACO,SARGENTO CABRAL,0.0,71,18696.0
BUENOS AIRES,GENERAL JUAN MADARIAGA,16.0,69,22566.0
